Image_ID,x,y,w,h
04FB1B33,0.4819878472222222,0.5060763888888888,0.17469618055555555,0.4056712962962963
B04E481E,0.6174045138888888,0.3133680555555556,0.177734375,0.29311342592592593
32655645,0.4908854166666667,0.4658564814814815,0.1655815972222222,0.35734953703703703
44D4DA7C,0.4728732638888889,0.5060763888888888,0.2378472222222222,0.4097222222222222
4F36EF72,0.4338107638888889,0.5743634259259259,0.18077256944444445,0.3975694444444444
F966A1AC,0.4850260416666667,0.5260416666666666,0.2109375,0.41377314814814814
6F9EE77B,0.3402777777777778,0.21672453703703706,0.3585069444444444,0.3414351851851852
07A099A6,0.5060763888888888,0.33738425925925924,0.2862413194444444,0.4296875
B62AD85C,0.4548611111111111,0.42158564814814814,0.2621527777777778,0.3816550925925926
C1A5F131,0.4908854166666667,0.6064814814814815,0.3161892361111111,0.2890625
1C7FCAAD,0.1896701388888889,0.497974537037037,0.4006076388888889,0.5020254629629629
E251184B,0.3372685185185185,0.39351851851851855,0.21689814814814812,0.2330246913580247
E0C512FB,0.4578703703703704,0.3654320987654321,0.2530092592592593,0.25709876543209875
108804B8,0.4127314814814815,0.41358024691358025,0.26805555555555555,0.25709876543209875
AD5AA9B5,0.4819878472222222,0.3735532407407408,0.2951388888888889,0.4658564814814815
7257CF6C,0.3493923611111111,0.42158564814814814,0.19270833333333331,0.35734953703703703
256CFFDC,0.3493923611111111,0.6545138888888888,0.1987847222222222,0.2248263888888889
54F47C4A,0.3524305555555556,0.5219907407407407,0.1716579861111111,0.18460648148148148
659B8876,0.3975694444444444,0.4458912037037037,0.18684895833333331,0.2650462962962963
120C6CAE,0.3012152777777778,0.42158564814814814,0.16861979166666666,0.29716435185185186
96445172,0.2801649305555556,0.4939236111111111,0.1655815972222222,0.2890625
91E34EED,0.2319878472222222,0.4739583333333333,0.427734375,0.4939236111111111
491F1FE8,0.4060329861111111,0.5133101851851852,0.23546006944444445,0.30150462962962965
E67C17B8,0.5180121527777778,0.4618055555555556,0.2228732638888889,0.29311342592592593
974873B6,0.12044270833333333,0.4175347222222222,0.4457465277777778,0.5824652777777778
B574C2C9,0.39453125,0.5622106481481481,0.2981770833333333,0.34953703703703703
28D3B03E,0.21375868055555555,0.3292824074074074,0.4246961805555556,0.5179398148148148
AF6D8D0D,0.427734375,0.497974537037037,0.23502604166666666,0.4056712962962963
A5E4FB76,0.4186197916666667,0.6585648148148148,0.283203125,0.3012152777777778
2CE7296F,0.4097222222222222,0.7390046296296297,0.2740885416666667,0.26099537037037035
6BA35AD4,0.5481770833333334,0.6105324074074074,0.17469618055555555,0.3894675925925926
F7445BFC,0.3192274305555556,0.5784143518518519,0.20182291666666666,0.39351851851851855
46C0CD35,0.4789496527777778,0.6467013888888888,0.1838107638888889,0.3532986111111111
718A826C,0.5149739583333334,0.5422453703703703,0.1506076388888889,0.3012152777777778
5E168977,0.4939236111111111,0.6345486111111112,0.1896701388888889,0.3654513888888889
E44F9AC1,0.32222222222222224,0.5262345679012346,0.2199074074074074,0.25308641975308643
402CCD11,0.533203125,0.6866319444444444,0.20789930555555555,0.3133680555555556
D5C4ECF7,0.4609375,0.5381944444444444,0.1838107638888889,0.4296875
AABD3A47,0.3825954861111111,0.4618055555555556,0.21375868055555555,0.5141782407407407
8D35B0F2,0.4728732638888889,0.5622106481481481,0.1896701388888889,0.29311342592592593
B4F808DE,0.4427083333333333,0.497974537037037,0.1957465277777778,0.4016203703703704
ABDEA70F,0.4637586805555556,0.3816550925925926,0.3765190972222222,0.3414351851851852
CA892534,0.4457465277777778,0.4256365740740741,0.216796875,0.2569444444444444
43CD917E,0.6384548611111112,0.5020254629629629,0.2981770833333333,0.3211805555555556
52825C15,0.4396701388888889,0.4175347222222222,0.3463541666666667,0.3654513888888889
BEA5C910,0.3927951388888889,0.4499421296296297,0.4815538194444444,0.3975694444444444
C547967E,0.3734809027777778,0.5462962962962963,0.3615451388888889,0.3975694444444444
24D538AB,0.3615451388888889,0.3776041666666667,0.4216579861111111,0.3894675925925926
F606101A,0.533203125,0.5902777777777778,0.3914930555555556,0.4097222222222222
255D5830,0.39453125,0.3532986111111111,0.4036458333333333,0.3654513888888889
133557E3,0.5121527777777778,0.4577546296296297,0.2740885416666667,0.2731481481481481
C85FC5F9,0.4427083333333333,0.6385995370370371,0.2319878472222222,0.28125
327DA8D9,0.4487847222222222,0.5381944444444444,0.24696180555555555,0.3532986111111111
9601463B,0.4396701388888889,0.4537037037037037,0.2228732638888889,0.3454861111111111
C0265EA6,0.3283420138888889,0.3333333333333333,0.4006076388888889,0.5300925925925926
2BEDB18D,0.5240885416666666,0.3414351851851852,0.3344184027777778,0.3333333333333333
93A49F0F,0.5149739583333334,0.4991319444444444,0.2111545138888889,0.26099537037037035
4333651C,0.5301649305555556,0.5179398148148148,0.18684895833333331,0.4296875
74E6CBD5,0.4759114583333333,0.5381944444444444,0.1896701388888889,0.4016203703703704
E978B4AE,0.4789496527777778,0.5983796296296297,0.2259114583333333,0.4016203703703704
B19BFE2B,0.4609375,0.5381944444444444,0.21983506944444445,0.4618055555555556
257C4CB8,0.5390625,0.5219907407407407,0.18077256944444445,0.2048611111111111
E9EE27A3,0.4819878472222222,0.5622106481481481,0.2649739583333333,0.3012152777777778
7AE00F17,0.2740885416666667,0.6385995370370371,0.21983506944444445,0.3454861111111111
CECF6010,0.3975694444444444,0.4296875,0.24088541666666666,0.5101273148148148
DA40919E,0.4457465277777778,0.4175347222222222,0.20789930555555555,0.4658564814814815
768EFC27,0.4127604166666667,0.5413773148148148,0.19835069444444445,0.30150462962962965
FB35D5EC,0.3637152777777778,0.5607638888888888,0.23155381944444445,0.3755787037037037
B8FF7799,0.3346354166666667,0.6119791666666666,0.2803819444444444,0.3880208333333333
AD74AA01,0.3624131944444444,0.35619212962962965,0.5013020833333334,0.6085069444444444
6413A56C,0.3055555555555556,0.2690972222222222,0.5225694444444444,0.5086805555555556
0A2FE444,0.4153645833333333,0.5020254629629629,0.3014322916666667,0.25462962962962965
8998208D,0.1970486111111111,0.10416666666666667,0.5329861111111112,0.4444444444444444
